url,Property Name,Address,bed,bath,area_sqft,Rent,Wooden Floor Feature,Sundeck Features,Free Wifi,24 Hour Facilities,Accessibility Features,Air Conditioning,Bike/Indoor Bike Storage,Car Services,Ceiling Fan,Closets,Clubhouse,Co-working/Working Spaces/Facilities,Controlled Access,Corner Unit,Courtyard,Den/Den Features,Designer Features,Dishwasher,Energy Efficiency Features,EV Charging,Fire place/pit,Garden,Granite Countertops,Guest Features,Grill Stations/Areas,Gym,Heating Features,High Speed Internet Features,Historic Feature,Icemaker,Keyfob,Kitchen Island,Large Windows,Laundry Facilities,Media and Game Room,Package Service,Parking/Garage/Reserved Parking,Patio/Balcony,Pet Facilities,Picnic Area,Pool Features,Rooftop Features,Security Features,Sewer and Trash,Skylight,Stainless Steel Appliances,Storage Facilities,Storage Additional Spaces,Tile Features,Trash/Garbage Services,Tub/Shower,Views,Valet Services,Vinyl Flooring,Walking/Biking Trails,Washer and Dryer,Wheelchair Access,Yoga Facilities,zipcode,yearBuilt,newBuiltFactor,probPropType,Zipcode_30306,Zipcode_30307,Zipcode_30308,Zipcode_30309,Zipcode_30310,Zipcode_30312,Zipcode_30313,Zipcode_30314,Zipcode_30315,Zipcode_30316,Zipcode_30318,Zipcode_30324,Zipcode_30332,Zipcode_30363,propType_Apartment,propType_Condo,walkScore,transitScore,bikeScore,rpsf
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,718.0,1670.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.3259052924791086
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,718.0,1690.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.3537604456824512
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,718.0,1650.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.298050139275766
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,718.0,1640.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.284122562674095
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,658.0,1530.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.325227963525836
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,658.0,1520.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.310030395136778
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,658.0,1575.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.393617021276596
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,658.0,1450.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.2036474164133737
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,658.0,1470.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.234042553191489
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,658.0,1490.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.264437689969605
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,607.0,1505.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.4794069192751236
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,607.0,1455.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.397034596375618
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,718.0,1580.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.200557103064067
https://www.apartments.com/maa-centennial-park-atlanta-ga/cd80n3f/,MAA Centennial Park,"305 Centennial Olympic Park Dr NW, Atlanta, GA 30313 – Centennial Park",1.0,1.0,713.0,1530.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,30313,2018.0,0,Apartment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.0,77.0,69.0,2.1458625525946706
